Category,Name,Series Points
Handcycle,Joe Pomeroy,4
,,
Master 50+ -Men,David Hoenicke,7
Master 50+ -Men,Pat Norcia,5
Master 50+ -Men,Dave McQuaid,5
Master 50+ -Men,George Moser    ,4
Master 50+ -Men,David Speight           ,2
Master 50+ -Men,Dave Sweeney,2
Master 50+ -Men,Todd Hermetz ,1
,,
Master 50+ - Women,Michelle Edwards        ,10
Master 50+ - Women,Julia Norcia,8
Master 50+ - Women,Ruth Albright,2
,,
Master 60+ - Men,James Martin            ,12
Master 60+ - Men, Bill Radler             ,9
Master 60+ - Men,Tony Herring,5
Master 60+ - Men,Lamar Mauney,2
Master 60+ - Men,Todd Hermetz ,1
Master 60+ - Men,Chip Palmer,1
,,
Master 70+ - Men,Bill Thompson,12
,,
Master 80+ - Men,John Mikkonen,12
,,
Men (4/5/U), Neil Tabor,8
Men (4/5/U),Gregory Tempel,7
Men (4/5/U), Joel Collier,5
Men (4/5/U),Fleet Belknap           ,5
Men (4/5/U),Carlton Sink,2
Men (4/5/U),Garett Molzer,3
Men (4/5/U),Nick Gregory            ,1
,,
Men (P/1/2/3),Caleb Smith,6
Men (P/1/2/3),Zach Berend,4
Men (P/1/2/3),Michael Mauhar          ,4
Men (P/1/2/3),Brooks Wienke          ,4
Men (P/1/2/3),Ben Mcconchie,3
Men (P/1/2/3),Nate Watson             ,3
Men (P/1/2/3),Jeff Michendfelder      ,2
Men (P/1/2/3),Max Abner    ,2
Men (P/1/2/3),Beckett Black,2
Men (P/1/2/3),Gray Barnett,1
,,
Merckx - Men,AJ Kingdom             ,7
Merckx - Men,Luke Barnett,4
Merckx - Men,Laurent Cretengny       ,4
Merckx - Men,Clemente Patrick,3
Merckx - Men,Dylan Wilcox,3
Merckx - Men,John Koenitzer,2
Merckx - Men,Jeff Jordan,3
Merckx - Men,Sammy Clary   ,2
Merckx - Men,Austin Kocchi ,1
Merckx - Men,Kevin Martin,1
Merckx - Men,Simon Harvey            ,1
,,
Merckx - Women,Kathleen Mitchell,7
Merckx - Women,Jamie Kingdom           ,7
Merckx - Women,Laura Calvin,4
Merckx - Women,Ruthanne Waite          ,4
Merckx - Women,Anne Roussy,2
Merckx - Women,Kim Kegler              ,2
Merckx - Women,Danette Everhart,1
Merckx - Women,Lauren Harper           ,1
,,
Women(4/U),Tami Leonhardt          ,12
Women(4/U),Nicole Ramsbey          ,6
Women(4/U),Anna Brunton,5
Women(4/U),Sarah Schoonover        ,5
